livraison_id	commande_fk	livreur_fk	statut	date_depart	date_arrivee
7	7	LIV005	annulee	2025-01-16 01:31:40	2025-01-16 01:37:40
8	8	LIV004	livree	2025-01-16 05:36:34	2025-01-16 05:49:34
11	11	LIV006	livree	2025-01-16 17:47:50	2025-01-16 17:59:50
16	16	LIV001	livree	2025-01-17 00:11:54	2025-01-17 00:21:54
19	19	LIV003	livree	2025-01-17 06:06:04	2025-01-17 06:21:04
21	21	LIV001	annulee	2025-01-17 14:49:33	2025-01-17 14:55:33
22	22	LIV003	livree	2025-01-17 15:26:34	2025-01-17 15:36:34
27	27	LIV003	livree	2025-01-18 12:18:31	2025-01-18 12:36:31
28	28	LIV005	livree	2025-01-18 12:53:41	2025-01-18 13:03:41
29	29	LIV004	livree	2025-01-18 17:26:49	2025-01-18 17:40:49
30	30	LIV002	livree	2025-01-18 19:46:32	2025-01-18 19:59:32
31	31	LIV003	livree	2025-01-19 00:56:29	2025-01-19 01:14:29
35	35	LIV005	livree	2025-01-19 04:47:11	2025-01-19 05:04:11
37	37	LIV006	livree	2025-01-19 06:42:29	2025-01-19 06:54:29
41	41	LIV003	livree	2025-01-19 11:38:10	2025-01-19 11:55:10
42	42	LIV006	livree	2025-01-19 13:59:55	2025-01-19 14:11:55
44	44	LIV002	livree	2025-01-19 14:13:40	2025-01-19 14:28:40
45	45	LIV002	livree	2025-01-19 15:02:27	2025-01-19 15:17:27
48	48	LIV001	livree	2025-01-19 19:43:48	2025-01-19 19:53:48
49	49	LIV006	livree	2025-01-19 21:51:44	2025-01-19 22:02:44
51	51	LIV005	annulee	2025-01-20 00:06:09	2025-01-20 00:11:09
52	52	LIV003	livree	2025-01-20 02:21:16	2025-01-20 02:29:16
55	55	LIV006	livree	2025-01-20 06:13:05	2025-01-20 06:21:05
56	56	LIV006	livree	2025-01-20 09:43:59	2025-01-20 09:51:59
57	57	LIV001	livree	2025-01-20 10:30:29	2025-01-20 10:43:29
58	58	LIV004	livree	2025-01-20 11:31:41	2025-01-20 11:42:41
59	59	LIV001	livree	2025-01-20 13:09:31	2025-01-20 13:18:31
62	62	LIV006	livree	2025-01-20 16:00:54	2025-01-20 16:17:54
64	64	LIV006	livree	2025-01-20 18:39:28	2025-01-20 18:47:28
65	65	LIV001	livree	2025-01-21 00:00:20	2025-01-21 00:18:20
